Sample,Plates.Glowing,Plates.Total,Fraction.Glowing
FCX1,0,3,0
FCX2,3,3,1
FCX3,2,3,0.666666667
FCX4,0,3,0
FCX5,3,3,1
FCX6,0,1,0
FCX7,0,3,0
FCX8,1,3,0.333333333
FCX9,0,2,0
FCX10,0,3,0
FCX11,0,3,0
FCX12,0,3,0
FCX13,1,3,0.333333333
FCX14,1,3,0.333333333
FCX15,,,
FCX16,0,3,0
FCX17,0,3,0
FCX18,0,3,0
FCX19,1,3,0.333333333
FCX20,0,3,0
FCX21,0,3,0
FCX22,2,3,0.666666667
FCX23,0,3,0
FCX24,0,3,0
FCX25,0,3,0
FCX26,0,3,0
FCX27,1,3,0.333333333
FCX28,1,3,0.333333333
FCX29,1,3,0.333333333
FCX30,0,3,0
FCX31,0,3,0
FCX32,0,3,0
FCX33,0,3,0
FCX34,0,3,0
FCX35,2,3,0.666666667
FCX36,3,3,1
FCX37,3,3,1
FCX38,3,3,1
