"","Well","Sample","SampleType","Ct","WormNumber","strip.well","Line","Strain","Species","start","passage","days.on.plate"
"1","A4","FCX37","strip",Inf,0,1,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"2","A5","FCX37","strip",36.894,3,9,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"3","A6","FCX2","strip",32.371,0,1,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"4","A7","FCX2","strip",21.2372,3,9,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"5","A8","FCX1","strip",Inf,0,1,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"6","A9","FCX1","strip",35.9212,3,9,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"7","A10","FCX35","strip",Inf,0,1,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"8","A11","FCX35","strip",Inf,3,9,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"9","A12","FCX32","strip",Inf,0,1,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"10","B4","FCX37","strip",Inf,1,2,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"11","B5","FCX37","strip",34.3268,3,10,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"12","B6","FCX2","strip",26.5172,1,2,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"13","B7","FCX2","strip",19.4039,3,10,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"14","B8","FCX1","strip",Inf,1,2,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"15","B9","FCX1","strip",Inf,3,10,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"16","B10","FCX35","strip",Inf,1,2,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"17","B11","FCX35","strip",Inf,3,10,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"18","B12","FCX32","strip",37.8039,1,2,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"19","C4","FCX37","strip",Inf,1,3,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"20","C5","FCX37","strip",Inf,3,11,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"21","C6","FCX2","strip",18.3545,1,3,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"22","C7","FCX2","strip",13.9553,3,11,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"23","C8","FCX1","strip",Inf,1,3,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"24","C9","FCX1","strip",Inf,3,11,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"25","C10","FCX35","strip",Inf,1,3,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"26","C11","FCX35","strip",Inf,3,11,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"27","C12","FCX32","strip",Inf,1,3,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"28","D4","FCX37","strip",Inf,1,4,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"29","D5","FCX37","strip",32.6241,3,12,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"30","D6","FCX2","strip",19.9274,1,4,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"31","D7","FCX2","strip",17.3529,3,12,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"32","D8","FCX1","strip",Inf,1,4,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"33","D9","FCX1","strip",Inf,3,12,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"34","D10","FCX35","strip",Inf,1,4,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"35","D11","FCX35","strip",Inf,3,12,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"36","D12","FCX32","strip",Inf,1,4,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"37","E4","FCX37","strip",Inf,2,5,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"38","E5","FCX37","strip",34.6571,3,13,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"39","E6","FCX2","strip",20.0346,2,5,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"40","E7","FCX2","strip",18.7742,3,13,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"41","E8","FCX1","strip",Inf,2,5,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"42","E9","FCX1","strip",Inf,3,13,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"43","E10","FCX35","strip",Inf,2,5,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"44","E11","FCX35","strip",35.9992,3,13,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"45","E12","FCX32","strip",36,2,5,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"46","F4","FCX37","strip",22.966,2,6,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"47","F5","FCX37","strip",33.9022,3,14,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"48","F6","FCX2","strip",17.2998,2,6,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"49","F7","FCX2","strip",24.6791,3,14,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"50","F8","FCX1","strip",Inf,2,6,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"51","F9","FCX1","strip",Inf,3,14,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"52","F10","FCX35","strip",34.8978,2,6,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"53","F11","FCX35","strip",Inf,3,14,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"54","F12","FCX32","strip",Inf,2,6,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"55","G4","FCX37","strip",34.1172,2,7,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"56","G5","FCX37","strip",19.5839,3,15,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"57","G6","FCX2","strip",19.3508,2,7,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"58","G7","FCX2","strip",15.5364,3,15,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"59","G8","FCX1","strip",Inf,2,7,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"60","G9","FCX1","strip",Inf,3,15,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"61","G10","FCX35","strip",Inf,2,7,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"62","G11","FCX35","strip",Inf,3,15,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
