Sample,Plates.Glowing,Plates.Total,Fraction.Glowing
FCY1,0,3,0
FCY2,3,3,1
FCY3,0,3,0
FCY4,0,3,0
FCY5,0,3,0
FCY6,0,3,0
FCY7,2,3,0.666666667
FCY8,0,3,0
FCY9,0,3,0
FCY10,0,3,0
FCY11,0,3,0
FCY12,0,3,0
FCY13,0,3,0
FCY14,0,3,0
FCY15,0,3,0
FCY16,1,3,0.333333333
FCY17,1,3,0.333333333
FCY18,1,3,0.333333333
FCY19,0,3,0
FCY20,3,3,1
FCY21,3,3,1
FCY22,2,2,1
FCY23,0,3,0
FCY24,0,3,0
FCY25,0,3,0
FCY26,0,3,0
FCY27,1,3,0.333333333
FCY28,0,3,0
FCY29,0,3,0
FCY30,0,3,0
FCY31,1,3,0.333333333
FCY32,1,3,0.333333333
FCY33,1,3,0.333333333
FCY34,0,3,0
