,Well,Sample,SampleType,Ct,WormNumber,Line,Strain,Species,start,passage,days.on.plate,inf
1,E12,FCY1,strip,Inf,1,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
2,F1,FCY1,strip,Inf,1,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
3,F2,FCY1,strip,Inf,1,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
4,F3,FCY1,strip,Inf,2,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
5,F4,FCY1,strip,Inf,2,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
6,F5,FCY1,strip,Inf,2,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
7,F6,FCY1,strip,Inf,3,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
8,F7,FCY1,strip,Inf,3,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
9,F8,FCY1,strip,Inf,3,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
10,F9,FCY1,strip,Inf,3,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
11,F10,FCY1,strip,Inf,3,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
12,F11,FCY1,strip,Inf,3,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
13,F12,FCY1,strip,Inf,3,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
14,G1,FCY1,strip,Inf,3,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
15,G2,FCY1,strip,Inf,3,FCY1,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
16,G3,FCY14,strip,Inf,0,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
17,G4,FCY14,strip,35.6936,1,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
18,G5,FCY14,strip,Inf,1,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
19,G6,FCY14,strip,Inf,1,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
20,G7,FCY14,strip,Inf,2,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
21,G8,FCY14,strip,Inf,2,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
22,G9,FCY14,strip,Inf,2,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
23,G10,FCY14,strip,35.978,3,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
24,G11,FCY14,strip,27.6087,3,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
25,G12,FCY14,strip,Inf,3,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
26,H1,FCY14,strip,21.4261,3,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
27,H2,FCY14,strip,30.1248,3,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
28,H3,FCY14,strip,19.6856,3,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
29,H4,FCY14,strip,34.8018,3,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
30,H5,FCY14,strip,Inf,3,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
31,H6,FCY14,strip,35.0302,3,FCY14,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
32,A2,FCY13,strip,Inf,0,FCY13,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
33,A3,FCY13,strip,Inf,3,FCY13,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
34,A4,FCY11,strip,Inf,0,FCY11,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
35,A5,FCY11,strip,36,3,FCY11,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
36,A6,FCY2,strip,Inf,0,FCY2,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
37,A7,FCY2,strip,18.4863,3,FCY2,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
38,A8,FCY7,strip,Inf,0,FCY7,JU4093,sp.66,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
39,A9,FCY7,strip,Inf,3,FCY7,JU4093,sp.66,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
40,A10,FCY24,strip,Inf,0,FCY24,JU1857,macrosperma,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
41,A11,FCY24,strip,Inf,3,FCY24,JU1857,macrosperma,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
42,A12,FCY5,strip,Inf,0,FCY5,ZF1092,sp.25,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
43,B2,FCY13,strip,Inf,1,FCY13,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
44,B3,FCY13,strip,Inf,3,FCY13,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
45,B4,FCY11,strip,Inf,1,FCY11,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
46,B5,FCY11,strip,Inf,3,FCY11,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
47,B6,FCY2,strip,21.8606,1,FCY2,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
48,B7,FCY2,strip,18.531,3,FCY2,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
49,B8,FCY7,strip,Inf,1,FCY7,JU4093,sp.66,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
50,B9,FCY7,strip,Inf,3,FCY7,JU4093,sp.66,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
51,B10,FCY24,strip,28.2608,1,FCY24,JU1857,macrosperma,5/10/2022 14:00,5/17/2022 8:20,6.763888889,1
52,B11,FCY24,strip,35.7648,3,FCY24,JU1857,macrosperma,5/10/2022 14:00,5/17/2022 8:20,6.763888889,1
53,B12,FCY5,strip,Inf,1,FCY5,ZF1092,sp.25,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
54,C2,FCY13,strip,Inf,1,FCY13,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
55,C3,FCY13,strip,25.6815,3,FCY13,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
56,C4,FCY11,strip,Inf,1,FCY11,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
57,C5,FCY11,strip,Inf,3,FCY11,JU1873,wallacei,5/10/2022 14:00,5/16/2022 9:00,5.791666667,0
58,C6,FCY2,strip,19.7089,1,FCY2,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
59,C7,FCY2,strip,19.7309,3,FCY2,JU1580,elegans,5/10/2022 14:00,5/16/2022 9:00,5.791666667,1
60,C8,FCY7,strip,Inf,1,FCY7,JU4093,sp.66,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
61,C9,FCY7,strip,Inf,3,FCY7,JU4093,sp.66,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
62,C10,FCY24,strip,Inf,1,FCY24,JU1857,macrosperma,5/10/2022 14:00,5/17/2022 8:20,6.763888889,0
