"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"1","FCY1",0,Inf,"FCY1","JU1580","elegans","5/10/2022 14:00","5/16/2022 9:00","5.791666667"
"2","FCY2",0,15.9167,"FCY2","JU1580","elegans","5/10/2022 14:00","5/16/2022 9:00","5.791666667"
"3","FCY3",0,33.0225,"FCY3","ZF1092","sp.25","5/10/2022 14:00","5/18/2022 12:45","7.947916667"
"4","FCY4",0,33.1983,"FCY4","ZF1092","sp.25","5/10/2022 14:00","5/18/2022 12:45","7.947916667"
"5","FCY5",0,35.4918,"FCY5","ZF1092","sp.25","5/10/2022 14:00","5/17/2022 8:20","6.763888889"
"6","FCY6",0,Inf,"FCY6","ZF1092","sp.25","5/10/2022 14:00","5/18/2022 8:30","7.770833333"
"7","FCY7",0,28.1095,"FCY7","JU4093","sp.66","5/10/2022 14:00","5/17/2022 8:20","6.763888889"
"8","FCY8",0,27.5356,"FCY8","JU4093","sp.66","5/10/2022 14:00","5/17/2022 12:15","6.927083333"
"9","FCY9",0,Inf,"FCY9","JU4093","sp.66","5/10/2022 14:00","5/17/2022 8:20","6.763888889"
"10","FCY10",0,Inf,"FCY10","JU4093","sp.66","5/10/2022 14:00","5/17/2022 8:20","6.763888889"
"11","FCY11",0,19.3838,"FCY11","JU1873","wallacei","5/10/2022 14:00","5/16/2022 9:00","5.791666667"
"12","FCY12",0,17.3758,"FCY12","JU1873","wallacei","5/10/2022 14:00","5/17/2022 8:20","6.763888889"
"13","FCY13",0,18.2906,"FCY13","JU1873","wallacei","5/10/2022 14:00","5/16/2022 9:00","5.791666667"
"14","FCY14",0,18.2253,"FCY14","JU1873","wallacei","5/10/2022 14:00","5/16/2022 9:00","5.791666667"
"15","FCY15",0,31.9252,"FCY15","JU724","latens","5/10/2022 14:00","5/18/2022 12:45","7.947916667"
"16","FCY16",0,24.298,"FCY16","JU724","latens","5/10/2022 14:00","5/18/2022 8:30","7.770833333"
"17","FCY17",0,22.3715,"FCY17","JU724","latens","5/10/2022 14:00","5/21/2022 5:25","10.64236111"
"18","FCY18",0,22.8794,"FCY18","JU724","latens","5/10/2022 14:00","5/20/2022 8:30","9.770833333"
"19","FCY19",0,25.3738,"FCY19","SB454","sulstoni","5/10/2022 14:00","5/17/2022 12:15","6.927083333"
"20","FCY20",0,17.5677,"FCY20","SB454","sulstoni","5/10/2022 14:00","5/18/2022 8:30","7.770833333"
"21","FCY21",0,18.0968,"FCY21","SB454","sulstoni","5/10/2022 14:00","5/18/2022 8:30","7.770833333"
"22","FCY22",0,23.4253,"FCY22","SB454","sulstoni","5/10/2022 14:00","5/17/2022 12:15","6.927083333"
"23","FCY23",0,29.4711,"FCY23","JU1857","macrosperma","5/10/2022 14:00","5/17/2022 12:15","6.927083333"
"24","FCY24",0,30.0792,"FCY24","JU1857","macrosperma","5/10/2022 14:00","5/17/2022 8:20","6.763888889"
"25","FCY25",0,29.2313,"FCY25","JU1857","macrosperma","5/10/2022 14:00","5/18/2022 8:30","7.770833333"
"26","FCY26",0,27.6098,"FCY26","JU1857","macrosperma","5/10/2022 14:00","5/19/2022 9:00","8.791666667"
"27","FCY27",0,26.3744,"FCY27","VX80","latens","5/10/2022 14:00","5/18/2022 12:45","7.947916667"
"28","FCY28",0,23.079,"FCY28","VX80","latens","5/10/2022 14:00","5/20/2022 8:30","9.770833333"
"29","FCY29",0,27.0238,"FCY29","VX80","latens","5/10/2022 14:00","5/23/2022 8:30","12.77083333"
"30","FCY30",0,21.21,"FCY30","VX80","latens","5/10/2022 14:00","5/21/2022 5:25","10.64236111"
"31","FCY31",0,19.577,"FCY31","JU1428","tropicalis","5/10/2022 14:00","5/19/2022 9:00","8.791666667"
"32","FCY32",0,21.6829,"FCY32","JU1428","tropicalis","5/10/2022 14:00","5/17/2022 12:15","6.927083333"
"33","FCY33",0,32.1401,"FCY33","JU1428","tropicalis","5/10/2022 14:00","5/18/2022 8:30","7.770833333"
"34","FCY34",0,25.0957,"FCY34","JU1428","tropicalis","5/10/2022 14:00","5/17/2022 12:15","6.927083333"
"35","FCY1.1",1,Inf,"FCY1","JU1580","elegans","5/16/2022 9:00","5/19/2022 14:00","3.208333333"
"36","FCY2.1",1,11.1549,"FCY2","JU1580","elegans","5/16/2022 9:00","5/20/2022 10:00","4.041666667"
"37","FCY3.1",1,Inf,"FCY3","ZF1092","sp.25","5/18/2022 12:45","5/23/2022 9:15","4.854166667"
"38","FCY4.1",1,Inf,"FCY4","ZF1092","sp.25","5/18/2022 12:45","5/23/2022 9:15","4.854166667"
"39","FCY5.1",1,20.9783,"FCY5","ZF1092","sp.25","5/17/2022 8:20","5/21/2022 6:30","3.923611111"
"40","FCY6.1",1,35.0693,"FCY6","ZF1092","sp.25","5/18/2022 8:30","5/23/2022 9:15","5.03125"
"41","FCY7.1",1,Inf,"FCY7","JU4093","sp.66","5/17/2022 8:20","5/21/2022 6:30","3.923611111"
"42","FCY8.1",1,33.0111,"FCY8","JU4093","sp.66","5/17/2022 12:15","5/21/2022 6:30","3.760416667"
"43","FCY9.1",1,Inf,"FCY9","JU4093","sp.66","5/17/2022 8:20","5/21/2022 6:30","3.923611111"
"44","FCY10.1",1,18.1262,"FCY10","JU4093","sp.66","5/17/2022 8:20","5/21/2022 6:30","3.923611111"
"45","FCY11.1",1,Inf,"FCY11","JU1873","wallacei","5/16/2022 9:00","5/19/2022 14:00","3.208333333"
"46","FCY12.1",1,Inf,"FCY12","JU1873","wallacei","5/17/2022 8:20","5/21/2022 6:30","3.923611111"
"47","FCY13.1",1,34.0494,"FCY13","JU1873","wallacei","5/16/2022 9:00","5/20/2022 10:00","4.041666667"
"48","FCY14.1",1,17.877,"FCY14","JU1873","wallacei","5/16/2022 9:00","5/19/2022 14:00","3.208333333"
"49","FCY15.1",1,21.5894,"FCY15","JU724","latens","5/18/2022 12:45","5/23/2022 9:15","4.854166667"
"50","FCY16.1",1,Inf,"FCY16","JU724","latens","5/18/2022 8:30","5/23/2022 9:15","5.03125"
"51","FCY19.1",1,20.211,"FCY19","SB454","sulstoni","5/17/2022 12:15","5/21/2022 6:30","3.760416667"
"52","FCY20.1",1,11.6587,"FCY20","SB454","sulstoni","5/18/2022 8:30","5/23/2022 9:15","5.03125"
"53","FCY21.1",1,11.8324,"FCY21","SB454","sulstoni","5/18/2022 8:30","5/23/2022 9:15","5.03125"
"54","FCY22.1",1,12.2361,"FCY22","SB454","sulstoni","5/17/2022 12:15","5/21/2022 6:30","3.760416667"
"55","FCY23.1",1,28.64,"FCY23","JU1857","macrosperma","5/17/2022 12:15","5/21/2022 6:30","3.760416667"
"56","FCY24.1",1,35.5381,"FCY24","JU1857","macrosperma","5/17/2022 8:20","5/21/2022 6:30","3.923611111"
"57","FCY25.1",1,Inf,"FCY25","JU1857","macrosperma","5/18/2022 8:30","5/21/2022 6:30","2.916666667"
"58","FCY26.1",1,35,"FCY26","JU1857","macrosperma","5/19/2022 9:00","5/23/2022 9:15","4.010416667"
"59","FCY27.1",1,26.0629,"FCY27","VX80","latens","5/18/2022 12:45","5/24/2022 8:45","5.833333333"
"60","FCY31.1",1,35.477,"FCY31","JU1428","tropicalis","5/19/2022 9:00","5/24/2022 8:45","4.989583333"
"61","FCY32.1",1,Inf,"FCY32","JU1428","tropicalis","5/17/2022 12:15","5/24/2022 8:45","6.854166667"
"62","FCY34.1",1,33.5747,"FCY34","JU1428","tropicalis","5/17/2022 12:15","5/23/2022 9:15","5.875"
"63","FCY1.2",2,Inf,"FCY1","JU1580","elegans","5/19/2022 14:00","5/23/2022 9:15","3.802083333"
"64","FCY2.2",2,11.9038,"FCY2","JU1580","elegans","5/20/2022 10:00","5/24/2022 8:45","3.947916667"
"65","FCY11.2",2,Inf,"FCY11","JU1873","wallacei","5/19/2022 14:00","5/23/2022 9:15","3.802083333"
"66","FCY13.2",2,Inf,"FCY13","JU1873","wallacei","5/20/2022 10:00","5/24/2022 8:45","3.947916667"
"67","FCY14.2",2,25.4357,"FCY14","JU1873","wallacei","5/19/2022 14:00","5/23/2022 9:15","3.802083333"
"68","FCY22.2",2,12.4925,"FCY22","SB454","sulstoni","5/21/2022 6:30","5/25/2022 8:15","4.072916667"
"69","FCY19.2",2,Inf,"FCY19","SB454","sulstoni","5/21/2022 6:30","5/25/2022 8:15","4.072916667"
"70","FCY33.1",1,Inf,"FCY33","JU1428","tropicalis","5/18/2022 8:30","5/25/2022 8:15","6.989583333"
"71","FCY23.2",2,Inf,"FCY23","JU1857","macrosperma","5/21/2022 6:30","5/25/2022 8:15","4.072916667"
"72","FCY24.2",2,Inf,"FCY24","JU1857","macrosperma","5/21/2022 6:30","5/25/2022 8:15","4.072916667"
"73","FCY8.2",2,Inf,"FCY8","JU4093","sp.66","5/21/2022 6:30","5/25/2022 8:15","4.072916667"
"74","FCY18.1",1,17.1854,"FCY18","JU724","latens","5/20/2022 8:30","5/26/2022 8:20","5.993055556"
"75","FCY5.2",2,Inf,"FCY5","ZF1092","sp.25","5/21/2022 6:30","5/26/2022 8:20","5.076388889"
"76","FCY10.2",2,Inf,"FCY10","JU4093","sp.66","5/21/2022 6:30","5/26/2022 8:20","5.076388889"
"77","FCY17.1",1,17.2575,"FCY17","JU724","latens","5/21/2022 5:25","5/27/2022 10:00","6.190972222"
"78","FCY1.3",3,Inf,"FCY1","JU1580","elegans","5/23/2022 9:15","5/27/2022 10:00","4.03125"
"79","FCY21.2",2,12.7301,"FCY21","SB454","sulstoni","5/23/2022 9:15","5/27/2022 10:00","4.03125"
