Sample,Plates.Glowing,Plates.Total,Fraction.Glowing
FCZ1,0,3,0
FCZ2,3,3,1
FCZ3,0,3,0
FCZ4,0,3,0
FCZ5,0,3,0
FCZ6,0,3,0
FCZ7,3,3,1
FCZ8,3,3,1
FCZ9,0,3,0
FCZ10,3,3,1
FCZ11,3,3,1
FCZ12,0,3,0
FCZ13,0,3,0
FCZ14,2,3,0.666666667
FCZ15,0,3,0
FCZ16,0,3,0
FCZ17,1,3,0.333333333
FCZ18,1,3,0.333333333
FCZ19,0,3,0
FCZ20,0,3,0
FCZ21,1,3,0.333333333
FCZ22,0,3,0
FCZ23,1,3,0.333333333
FCZ25,2,3,0.666666667
FCZ26,1,3,0.333333333
FCZ28,1,3,0.333333333
FCZ29,0,3,0
FCZ30,0,3,0
FCZ31,3,3,1
FCZ32,3,3,1
