"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"1","A7","FCZ9","strip",Inf,0,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"2","A8","FCZ9","strip",Inf,3,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"3","A9","FCZ1","strip",Inf,0,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"4","A10","FCZ1","strip",Inf,3,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"5","A11","FCZ2","strip",Inf,0,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"6","A12","FCZ2","strip",18.3729,3,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"7","B7","FCZ9","strip",Inf,1,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"8","B8","FCZ9","strip",Inf,3,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"9","B9","FCZ1","strip",Inf,1,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"10","B10","FCZ1","strip",Inf,3,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"11","B11","FCZ2","strip",18.543,1,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"12","B12","FCZ2","strip",17.7396,3,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"13","C7","FCZ9","strip",Inf,1,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"14","C8","FCZ9","strip",Inf,3,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"15","C9","FCZ1","strip",Inf,1,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"16","C10","FCZ1","strip",Inf,3,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"17","C11","FCZ2","strip",21.0131,1,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"18","C12","FCZ2","strip",17.318,3,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"19","D1","FCZ2","strip",17.1362,3,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"20","D7","FCZ9","strip",Inf,1,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"21","D8","FCZ9","strip",33.1015,3,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"22","D9","FCZ1","strip",Inf,1,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"23","D10","FCZ1","strip",Inf,3,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"24","D11","FCZ2","strip",20.4664,1,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"25","D12","FCZ2","strip",18.1552,3,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"26","E7","FCZ9","strip",Inf,2,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"27","E8","FCZ9","strip",35.9921,3,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"28","E9","FCZ1","strip",Inf,2,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"29","E10","FCZ1","strip",Inf,3,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"30","E11","FCZ2","strip",22.3621,2,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"31","E12","FCZ2","strip",17.0298,3,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"32","F7","FCZ9","strip",Inf,2,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"33","F8","FCZ9","strip",Inf,3,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"34","F9","FCZ1","strip",Inf,2,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"35","F10","FCZ1","strip",Inf,3,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"36","F11","FCZ2","strip",17.8296,2,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"37","F12","FCZ2","strip",17.1931,3,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"38","G7","FCZ9","strip",Inf,2,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"39","G8","FCZ9","strip",25.7814,3,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"40","G9","FCZ1","strip",Inf,2,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"41","G10","FCZ1","strip",Inf,3,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"42","G11","FCZ2","strip",18.5776,2,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"43","H6","FCZ2","strip",17.1454,3,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"44","H7","FCZ9","strip",Inf,3,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"45","H8","FCZ9","strip",Inf,3,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"46","H9","FCZ1","strip",Inf,3,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"47","H10","FCZ1","strip",Inf,3,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"48","H11","FCZ2","strip",17.1031,3,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"49","A5","FCZ30","strip",Inf,0,"FCZ30","JU1873","wallacei","6/15/2022 13:45","6/20/2022 8:30",4.78125
"50","A6","FCZ30","strip",35.5936,3,"FCZ30","JU1873","wallacei","6/15/2022 13:45","6/20/2022 8:30",4.78125
"51","A7","FCZ29","strip",Inf,0,"FCZ29","JU1873","wallacei","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"52","A8","FCZ29","strip",35.5192,3,"FCZ29","JU1873","wallacei","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"53","A9","FCZ7","strip",Inf,0,"FCZ7","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"54","A10","FCZ7","strip",18.8331,3,"FCZ7","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"55","B5","FCZ30","strip",Inf,1,"FCZ30","JU1873","wallacei","6/15/2022 13:45","6/20/2022 8:30",4.78125
"56","B6","FCZ30","strip",35.8188,3,"FCZ30","JU1873","wallacei","6/15/2022 13:45","6/20/2022 8:30",4.78125
"57","B7","FCZ29","strip",Inf,1,"FCZ29","JU1873","wallacei","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"58","B8","FCZ29","strip",35.6409,3,"FCZ29","JU1873","wallacei","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"59","B9","FCZ7","strip",20.6845,1,"FCZ7","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"60","B10","FCZ7","strip",24.8877,3,"FCZ7","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"61","C5","FCZ30","strip",Inf,1,"FCZ30","JU1873","wallacei","6/15/2022 13:45","6/20/2022 8:30",4.78125
"62","C6","FCZ30","strip",Inf,3,"FCZ30","JU1873","wallacei","6/15/2022 13:45","6/20/2022 8:30",4.78125
"63","C7","FCZ29","strip",Inf,1,"FCZ29","JU1873","wallacei","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"64","C8","FCZ29","strip",35.3926,3,"FCZ29","JU1873","wallacei","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"65","C9","FCZ7","strip",Inf,1,"FCZ7","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
