"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"1","FCZ6",0,26.0556,"FCZ6","JU1857","macrosperma","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"2","FCZ14",0,23.7351,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"3","FCZ22",0,31.672,"FCZ22","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 11:00",7.885416667
"4","FCZ1.1",1,Inf,"FCZ1","JU1580","elegans","6/20/2022 8:30","",-44732.35417
"5","FCZ7",0,17.1901,"FCZ7","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"6","FCZ15",0,20.305,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"7","FCZ23",0,23.3047,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"8","FCZ9.1",1,15.0439,"FCZ9","SB454","sulstoni","6/20/2022 8:30","",-44732.35417
"9","FCZ8",0,17.1539,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"10","FCZ16",0,26.4816,"FCZ16","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"11","FCZ25",0,25.2728,"FCZ25","VX80","latens","6/15/2022 13:45","6/23/2022 11:00",7.885416667
"12","FCZ1",0,Inf,"FCZ1","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"13","FCZ9",0,24.3455,"FCZ9","SB454","sulstoni","6/15/2022 13:45","6/20/2022 8:30",4.78125
"14","FCZ17",0,36,"FCZ17","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"15","FCZ26",0,26.3307,"FCZ26","VX80","latens","6/15/2022 13:45","6/22/2022 7:00",6.71875
"16","FCZ2",0,17.0021,"FCZ2","JU1580","elegans","6/15/2022 13:45","6/20/2022 8:30",4.78125
"17","FCZ10",0,21.2693,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"18","FCZ18",0,20.1069,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"19","FCZ28",0,25.3031,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"20","FCZ3",0,24.1979,"FCZ3","JU1857","macrosperma","6/15/2022 13:45","6/23/2022 11:00",7.885416667
"21","FCZ11",0,19.6688,"FCZ11","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"22","FCZ19",0,17.9911,"FCZ19","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"23","FCZ29",0,33.7571,"FCZ29","JU1873","wallacei","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"24","FCZ4",0,30.1059,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"25","FCZ12",0,25.4879,"FCZ12","JU4093","sp.65","6/15/2022 13:45","6/22/2022 7:00",6.71875
"26","FCZ20",0,Inf,"FCZ20","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"27","FCZ30",0,19.3181,"FCZ30","JU1873","wallacei","6/15/2022 13:45","6/20/2022 8:30",4.78125
"28","FCZ5",0,29.1302,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"29","FCZ13",0,20.7416,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"30","FCZ21",0,Inf,"FCZ21","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"31","FCZ29.1",1,Inf,"FCZ29","JU1873","wallacei","6/20/2022 11:40","6/24/2022 18:00",4.263888889
"32","FCZ14.1",1,Inf,"FCZ14","JU4093","sp.65","6/21/2022 8:00","6/25/2022 20:20",4.513888889
"33","FCZ4.1",1,28.4634,"FCZ4","JU1857","macrosperma","6/21/2022 11:45","6/25/2022 20:20",4.357638889
"34","FCZ13.1",1,32.6552,"FCZ13","JU4093","sp.65","6/21/2022 8:00","6/25/2022 20:20",4.513888889
"35","FCZ32",0,17.5488,"FCZ32","JU724","latens","6/15/2022 13:45","6/26/2022 13:00",10.96875
"36","FCZ1.2",2,Inf,"FCZ1","JU1580","elegans","1/0/1900 0:00","6/26/2022 19:30",44738.8125
"37","FCZ10.1",1,12.4525,"FCZ10","SB454","sulstoni","6/20/2022 11:40","6/24/2022 18:00",4.263888889
"38","FCZ23.1",1,34.6828,"FCZ23","VX80","latens","6/21/2022 11:45","6/25/2022 20:20",4.357638889
"39","FCZ2.1",1,10.8975,"FCZ2","JU1580","elegans","6/20/2022 8:30","6/24/2022 18:00",4.395833333
"40","FCZ5.1",1,Inf,"FCZ5","JU1857","macrosperma","6/21/2022 11:45","6/25/2022 20:20",4.357638889
"41","FCZ11.1",1,16.9423,"FCZ11","JU4093","sp.65","6/21/2022 8:00","6/25/2022 20:20",4.513888889
"42","FCZ12.1",1,30.5979,"FCZ12","JU4093","sp.65","6/22/2022 7:00","6/26/2022 19:30",4.520833333
"43","FCZ26.1",1,Inf,"FCZ26","VX80","latens","6/22/2022 7:00","6/26/2022 19:30",4.520833333
"44","FCZ8.1",1,11.158,"FCZ8","SB454","sulstoni","6/21/2022 8:00","6/25/2022 20:20",4.513888889
"45","FCZ30.1",1,Inf,"FCZ30","JU1873","wallacei","6/20/2022 8:30","6/24/2022 18:00",4.395833333
"46","FCZ7.1",1,12.2265,"FCZ7","SB454","sulstoni","6/20/2022 11:40","6/24/2022 18:00",4.263888889
"47","FCZ28.1",1,35.5502,"FCZ28","JU1873","wallacei","6/21/2022 8:00","6/25/2022 20:20",4.513888889
"48","FCZ9.2",2,15.4975,"FCZ9","SB454","sulstoni","1/0/1900 0:00","6/27/2022 12:15",44739.51042
"49","FCZ6.1",1,34.9624,"FCZ6","JU1857","macrosperma","6/23/2022 8:10","6/27/2022 12:15",4.170138889
