"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"1","E7","FDI28","strip",Inf,0,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"2","E8","FDI28","strip",Inf,1,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"3","E9","FDI28","strip",Inf,1,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"4","E10","FDI28","strip",Inf,1,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"5","E11","FDI28","strip",Inf,2,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"6","E12","FDI28","strip",Inf,2,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"7","F1","FDI28","strip",Inf,2,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"8","F2","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"9","F3","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"10","F4","FDI28","strip",34.3222,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"11","F5","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"12","F6","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"13","F7","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"14","F8","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"15","F9","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"16","F10","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"17","F11","FDI12","strip",39.9824,0,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"18","F12","FDI12","strip",Inf,1,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"19","G1","FDI12","strip",28.502,1,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"20","G2","FDI12","strip",Inf,1,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"21","G3","FDI12","strip",Inf,2,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"22","G4","FDI12","strip",Inf,2,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"23","G5","FDI12","strip",Inf,2,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"24","G6","FDI12","strip",31.3215,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"25","G7","FDI12","strip",33.14,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"26","G8","FDI12","strip",28.1022,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"27","G9","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"28","G10","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"29","G11","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"30","G12","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"31","H1","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"32","H2","FDI12","strip",29.6668,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"33","H3","FDI9","strip",Inf,0,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
