"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"1","FDI1","0",Inf,"FDI1","JU1580","elegans","9/14/2022 14:00","9/20/2022 8:30",5.770833333
"2","FDI2","0",17.7421,"FDI2","JU1580","elegans","9/14/2022 14:00","9/20/2022 8:30",5.770833333
"3","FDI3","0",35.6722,"FDI3","ZF1092","sp.25","9/14/2022 14:00","9/20/2022 8:30",5.770833333
"4","FDI4","0",Inf,"FDI4","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 19:45",5.239583333
"5","FDI5","0",35.0087,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"6","FDI6","0",32.0281,"FDI6","ZF1092","sp.25","9/14/2022 14:00","9/20/2022 8:30",5.770833333
"7","FDI7","0",25.0377,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"8","FDI8","0",25.352,"FDI8","JU1428","tropicalis","9/14/2022 14:00","9/20/2022 8:30",5.770833333
"9","FDI9","0",25.2909,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"10","FDI10","0",30.1422,"FDI10","JU1428","tropicalis","9/14/2022 14:00","9/20/2022 8:30",5.770833333
"11","FDI11","0",32.2057,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"12","FDI12","0",30.3376,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"13","FDI14","0",32.0927,"FDI14","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"14","FDI15","0",19.4244,"FDI15","SB454","sulstoni","9/14/2022 14:00","9/20/2022 8:30",5.770833333
"15","FDI16","0",17.5342,"FDI16","SB454","sulstoni","9/14/2022 14:00","9/19/2022 19:45",5.239583333
"16","FDI17","0",16.9919,"FDI17","SB454","sulstoni","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"17","FDI18","0",16.7941,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"18","FDI23","0",22.6382,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"19","FDI24","0",24.8188,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"20","FDI25","0",21.4686,"FDI25","JU4093","sp.65","9/14/2022 14:00","9/20/2022 8:30",5.770833333
"21","FDI27","0",31.1116,"FDI27","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"22","FDI28","0",33.1277,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"23","FDI29","0",31.8443,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"24","FDI30","0",32.8653,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"25","FDI26","0",19.2673,"FDI26","JU4093","sp.65","9/14/2022 14:00","9/21/2022 12:45",6.947916667
"26","FDI7.1","1",29.4415,"FDI7","JU1428","tropicalis","9/19/2022 12:00","9/23/2022 9:00",3.875
"27","FDI27.1","1",Inf,"FDI27","JU1873","wallacei","9/19/2022 12:00","9/23/2022 9:00",3.875
"28","FDI29.1","1",16.4858,"FDI29","JU1873","wallacei","9/19/2022 12:00","9/22/2022 13:30",3.0625
"29","FDI28.1","1",33.1897,"FDI28","JU1873","wallacei","9/19/2022 9:00","9/22/2022 13:30",3.1875
"30","FDI23.1","1",20.1848,"FDI23","JU4093","sp.65","9/19/2022 12:00","9/23/2022 9:00",3.875
"31","FDI18.1","1",12.2359,"FDI18","SB454","sulstoni","9/19/2022 9:00","9/23/2022 9:00",4
"32","FDI9.1","1",Inf,"FDI9","JU1428","tropicalis","9/19/2022 9:00","9/23/2022 9:00",4
"33","FDI14.1","1",Inf,"FDI14","JU1857","macrosperma","9/19/2022 12:00","9/22/2022 13:30",3.0625
"34","FDI24.1","1",19.2187,"FDI24","JU4093","sp.65","9/19/2022 12:00","9/23/2022 9:00",3.875
