"","strain","TCID50.est","conf.low","conf.high","block","strain.1"
"1","JU1580",4309.1,1062.1,12282,"1","JU1580"
"2","JU4093.old",4.1,1.1,11.1,"1","JU4093"
"3","SB454.new",122.1,29.1,469.1,"1","SB454"
"4","ZF1092.new",1.1,0.1,4.1,"1","ZF1092"
"5","JU1873.old",12.1,3.1,46.1,"1","JU1873"
"6","JU1580",2690.1,536.1,8969.1,"2","JU1580"
"7","JU4093.new",1.1,0.1,4.1,"2","JU4093"
"8","JU724.old",26.1,6.1,87.1,"2","JU724"
"9","ZF1092.old",0.1,0.1,1.1,"2","ZF1092"
"10","JU1873.new",26.1,6.1,87.1,"2","JU1873"
"11","JU1857.old",265.1,57.1,881.1,"2","JU1857"
"12","JU1580",1186.1,227.1,4729.1,"3","JU1580"
"13","JU1857.new",328.1,87.1,874.1,"3","JU1857"
"14","JU724.new",667.1,144.1,2619.1,"3","JU724"
"15","SB454.old",265.1,57.1,881.1,"3","SB454"
"16","JU1580",13335,2957.1,30000,"4","JU1580"
"17","JU1428.new",66.1,15.1,260.1,"4","JU1428"
"18","VX80.old",66.1,10.1,343.1,"4","VX80"
