"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME"
"1","FCX10","JU1857","macrosperma","FCX",2,33.6751,31.3988277832384,0,0,0.41,0.13,0.05,0.27,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"2","FCX11","JU1428","tropicalis","FCX",1,21.4907,29.7082264044458,0,0,0.19,0.28,0.08,0.57,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428"
"3","FCX12","JU1428","tropicalis","FCX",1,31.6933,30.8750687540841,0,0,1,0.03,0.01,0.12,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428"
"4","FCX13","JU1428","tropicalis","FCX",1,21.8006,29.1481420766195,0.07,0.01,0.4,0.4,0.15,0.71,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0234226638030488,"C. tropicalis
 JU1428"
"5","FCX14","JU1428","tropicalis","FCX",1,28.4625,30.4550055082143,0.22,0.02,1,0.12,0.04,0.25,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0202676898959181,"C. tropicalis
 JU1428"
"6","FCX16","JU724.1","latens","FCX",1,NA,31.8488867087429,1,0,1,0,0,0.14,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0,"C. latens
 JU724"
"7","FCX17","JU724.1","latens","FCX",1,32.2849,31.242128686931,0,0,0.41,0.13,0.05,0.27,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0,"C. latens
 JU724"
"8","FCX18","JU724.1","latens","FCX",0,33.9433,31.7088656267863,0,0,1,0.03,0.01,0.11,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0,"C. latens
 JU724"
"9","FCX19","ZF1092","sp.25","FCX",0,34.1532,32.553001393984,0.3,0.02,1,0.09,0.01,0.34,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0.00420487690184976,"C. sp. 25
 ZF1092"
"10","FCX20","ZF1092","sp.25","FCX",0,32.1032,32.3663066180419,0,0,0.42,0.13,0.04,0.31,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092"
"11","FCX21","ZF1092","sp.25","FCX",0,NA,32.9730646398538,1,0,1,0,0,0.07,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092"
"12","FCX22","ZF1092","sp.25","FCX",0,34.74575,32.4129803120274,0.59,0.09,1,0.12,0.05,0.26,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0.0114835784936671,"C. sp. 25
 ZF1092"
"13","FCX27","VX80","latens","FCX",1,23.6467,29.9829942985542,0.3,0.02,1,0.09,0.03,0.21,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0172703079387869,"C. latens
 VX80"
"14","FCX28","VX80","latens","FCX",2,24.21235,29.796299522612,0.21,0.02,1,0.13,0.05,0.27,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0178231477010822,"C. latens
 VX80"
"15","FCX29","VX80","latens","FCX",0,27.9174,30.0763416865252,0.38,0.02,1,0.07,0.02,0.2,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0168368936299611,"C. latens
 VX80"
"16","FCX3","JU4093","sp.65","FCX",0,29.83005,31.3175542963793,1,0.15,1,0.06,0.02,0.17,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.0216225292751944,"C. sp. 65
 JU4093"
"17","FCX30","VX80","latens","FCX",0,34.7093,30.1230153805108,0,0,1,0.06,0.01,0.16,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0,"C. latens
 VX80"
"18","FCX31","JU1873","wallacei","FCX",0,35.3345,33.0457912466909,0,0,0.65,0.09,0.03,0.21,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
"19","FCX32","JU1873","wallacei","FCX",0,35.2781,31.9256225910382,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
