"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME","Sample","Passage","Ct","infected"
"1","FCX10","JU1857","macrosperma","FCX",2,33.6751,31.4457142509091,0,0,0.41,0.13,0.05,0.27,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCX10.1","1",23.4431,1
"2","FCX10","JU1857","macrosperma","FCX",2,33.6751,31.4457142509091,0,0,0.41,0.13,0.05,0.27,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCX10.2","2",32.1445,1
"3","FCX10","JU1857","macrosperma","FCX",2,33.6751,31.4457142509091,0,0,0.41,0.13,0.05,0.27,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCX10.3","3",Inf,0
"4","FCX11","JU1428","tropicalis","FCX",1,21.4907,29.7190019991994,0,0,0.19,0.28,0.08,0.57,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428","FCX11.1","1",31.166,1
"5","FCX11","JU1428","tropicalis","FCX",1,21.4907,29.7190019991994,0,0,0.19,0.28,0.08,0.57,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428","FCX11.2","2",Inf,0
"6","FCX12","JU1428","tropicalis","FCX",1,31.6933,30.9868635083238,0,0,1,0.03,0.01,0.12,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428","FCX12.1","1",32.0256,1
"7","FCX12","JU1428","tropicalis","FCX",1,31.6933,30.9868635083238,0,0,1,0.03,0.01,0.12,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428","FCX12.2","2",Inf,0
"8","FCX13","JU1428","tropicalis","FCX",1,21.8006,29.1104284748197,0.07,0.01,0.4,0.4,0.15,0.71,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.02347211894883,"C. tropicalis
 JU1428","FCX13.1","1",35.1078,1
"9","FCX13","JU1428","tropicalis","FCX",1,21.8006,29.1104284748197,0.07,0.01,0.4,0.4,0.15,0.71,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.02347211894883,"C. tropicalis
 JU1428","FCX13.2","2",Inf,0
"10","FCX14","JU1428","tropicalis","FCX",1,28.4625,30.5304333650391,0.22,0.02,1,0.12,0.04,0.25,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0201512743948738,"C. tropicalis
 JU1428","FCX14.1","1",32.7253,1
"11","FCX14","JU1428","tropicalis","FCX",1,28.4625,30.5304333650391,0.22,0.02,1,0.12,0.04,0.25,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0201512743948738,"C. tropicalis
 JU1428","FCX14.2","2",Inf,0
"12","FCX16","JU724.1","latens","FCX",1,NA,31.9689209945283,1,0,1,0,0,0.14,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0,"C. latens
 JU724","FCX16.1","1",34.2808,1
"13","FCX16","JU724.1","latens","FCX",1,NA,31.9689209945283,1,0,1,0,0,0.14,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0,"C. latens
 JU724","FCX16.2","2",Inf,0
"14","FCX17","JU724.1","latens","FCX",1,32.2849,31.3096330097836,0,0,0.41,0.13,0.05,0.27,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0,"C. latens
 JU724","FCX17.1","1",26.3264,1
"15","FCX17","JU724.1","latens","FCX",1,32.2849,31.3096330097836,0,0,0.41,0.13,0.05,0.27,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0,"C. latens
 JU724","FCX17.2","2",Inf,0
"16","FCX18","JU724.1","latens","FCX",0,33.9433,31.8167776134334,0,0,1,0.03,0.01,0.11,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0,"C. latens
 JU724","FCX18.1","1",Inf,0
"17","FCX19","ZF1092","sp.25","FCX",0,34.1532,32.5385416992756,0.3,0.02,1,0.09,0.01,0.34,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0.00422267723529953,"C. sp. 25
 ZF1092","FCX19.1","1",Inf,0
"18","FCX20","ZF1092","sp.25","FCX",0,32.1032,32.3356838578157,0,0,0.42,0.13,0.04,0.31,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCX20.1","1",Inf,0
"19","FCX21","ZF1092","sp.25","FCX",0,NA,32.9949718425604,1,0,1,0,0,0.07,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCX21.1","1",Inf,0
"20","FCX22","ZF1092","sp.25","FCX",0,34.74575,32.3863983181807,0.59,0.09,1,0.12,0.05,0.26,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0.0115717995541225,"C. sp. 25
 ZF1092","FCX22.1","1",Inf,0
"21","FCX27","VX80","latens","FCX",1,23.6467,30.2451279187037,0.3,0.02,1,0.09,0.03,0.21,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0167614633230943,"C. latens
 VX80","FCX27.1","1",31.3565,1
"22","FCX27","VX80","latens","FCX",1,23.6467,30.2451279187037,0.3,0.02,1,0.09,0.03,0.21,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0167614633230943,"C. latens
 VX80","FCX27.2","2",Inf,0
"23","FCX28","VX80","latens","FCX",2,24.21235,30.0422700772438,0.21,0.02,1,0.13,0.05,0.27,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0173466141688968,"C. latens
 VX80","FCX28.1","1",25.641,1
"24","FCX28","VX80","latens","FCX",2,24.21235,30.0422700772438,0.21,0.02,1,0.13,0.05,0.27,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0173466141688968,"C. latens
 VX80","FCX28.2","2",22.4969,1
"25","FCX28","VX80","latens","FCX",2,24.21235,30.0422700772438,0.21,0.02,1,0.13,0.05,0.27,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0173466141688968,"C. latens
 VX80","FCX28.3","3",Inf,0
"26","FCX29","VX80","latens","FCX",0,27.9174,30.3465568394336,0.38,0.02,1,0.07,0.02,0.2,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0163170278990781,"C. latens
 VX80","FCX29.1","1",Inf,0
"27","FCX3","JU4093","sp.65","FCX",0,29.83005,31.4232086968131,1,0.15,1,0.06,0.02,0.17,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.0211722796529672,"C. sp. 65
 JU4093","FCX3.1","1",Inf,0
"28","FCX30","VX80","latens","FCX",0,34.7093,30.3972712997986,0,0,1,0.06,0.01,0.16,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0,"C. latens
 VX80","FCX30.1","1",Inf,0
"29","FCX31","JU1873","wallacei","FCX",0,35.3345,33.0537332764624,0,0,0.65,0.09,0.03,0.21,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX31.1","1",Inf,0
"30","FCX32","JU1873","wallacei","FCX",0,35.2781,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX32.1","1",Inf,0
"31","FCX33","JU1873","wallacei","FCX",1,35.5259,32.6987320539075,0,0,0.32,0.16,0.06,0.3,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX33.1","1",36,1
"32","FCX33","JU1873","wallacei","FCX",1,35.5259,32.6987320539075,0,0,0.32,0.16,0.06,0.3,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX33.2","2",Inf,0
"33","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.1","1",17.535,1
"34","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.2","2",11.8435,1
"35","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.3","3",15.1364,1
"36","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.5","5",13.0533,1
"37","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.4","4",13.409,1
"38","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.6","6",13.1978,1
"39","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.7","7",13.4607,1
"40","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.9","9",13.4069,1
"41","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.10","10",16.907,1
"42","FCX34","JU1873","wallacei","FCX",10,35.5131,31.8365862277029,0,0,0.13,0.33,0.18,0.52,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873","FCX34.8","8",12.8542,1
"43","FCX35","SB454","sulstoni","FCX",0,35.4485,30.4310029970809,1,0.15,1,0.06,0.02,0.16,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.0505632778857495,"C. sulstoni
 SB454","FCX35.1","1",Inf,0
"44","FCX36","SB454","sulstoni","FCX",10,25.2575,25.6638437227731,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.972173021746365,"C. sulstoni
 SB454","FCX36.1","1",17.8516,1
"45","FCX36","SB454","sulstoni","FCX",10,25.2575,25.6638437227731,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.972173021746365,"C. sulstoni
 SB454","FCX36.2","2",14.8716,1
"46","FCX36","SB454","sulstoni","FCX",10,25.2575,25.6638437227731,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.972173021746365,"C. sulstoni
 SB454","FCX36.3","3",17.5219,1
"47","FCX36","SB454","sulstoni","FCX",10,25.2575,25.6638437227731,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.972173021746365,"C. sulstoni
 SB454","FCX36.4","4",11.5873,1
"48","FCX36","SB454","sulstoni","FCX",10,25.2575,25.6638437227731,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.972173021746365,"C. sulstoni
 SB454","FCX36.5","5",11.0894,1
"49","FCX36","SB454","sulstoni","FCX",10,25.2575,25.6638437227731,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.972173021746365,"C. sulstoni
 SB454","FCX36.6","6",12,1
"50","FCX36","SB454","sulstoni","FCX",10,25.2575,25.6638437227731,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.972173021746365,"C. sulstoni
 SB454","FCX36.8","8",11.485,1
"51","FCX36","SB454","sulstoni","FCX",10,25.2575,25.6638437227731,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.972173021746365,"C. sulstoni
 SB454","FCX36.9","9",18.1606,1
