"","Sample","WormNumber","Species","Strain","block","inf.number","number.wells"
"1","FCX10",0,"macrosperma","JU1857","FCX",0,1
"2","FCX10",1,"macrosperma","JU1857","FCX",0,3
"3","FCX10",2,"macrosperma","JU1857","FCX",0,3
"4","FCX10",3,"macrosperma","JU1857","FCX",4,9
"5","FCX11",0,"tropicalis","JU1428","FCX",0,1
"6","FCX11",1,"tropicalis","JU1428","FCX",1,3
"7","FCX11",2,"tropicalis","JU1428","FCX",2,3
"8","FCX11",3,"tropicalis","JU1428","FCX",0,1
"9","FCX12",0,"tropicalis","JU1428","FCX",0,1
"10","FCX12",1,"tropicalis","JU1428","FCX",0,3
"11","FCX12",2,"tropicalis","JU1428","FCX",0,3
"12","FCX12",3,"tropicalis","JU1428","FCX",1,9
"13","FCX13",0,"tropicalis","JU1428","FCX",1,1
"14","FCX13",1,"tropicalis","JU1428","FCX",2,3
"15","FCX13",2,"tropicalis","JU1428","FCX",1,3
"16","FCX13",3,"tropicalis","JU1428","FCX",1,1
"17","FCX14",0,"tropicalis","JU1428","FCX",0,1
"18","FCX14",1,"tropicalis","JU1428","FCX",1,3
"19","FCX14",2,"tropicalis","JU1428","FCX",1,3
"20","FCX14",3,"tropicalis","JU1428","FCX",2,9
"21","FCX16",0,"latens","JU724","FCX",0,1
"22","FCX16",1,"latens","JU724","FCX",0,3
"23","FCX16",2,"latens","JU724","FCX",0,3
"24","FCX16",3,"latens","JU724","FCX",0,1
"25","FCX17",0,"latens","JU724","FCX",0,1
"26","FCX17",1,"latens","JU724","FCX",0,3
"27","FCX17",2,"latens","JU724","FCX",0,3
"28","FCX17",3,"latens","JU724","FCX",4,9
"29","FCX18",0,"latens","JU724","FCX",0,1
"30","FCX18",1,"latens","JU724","FCX",0,3
"31","FCX18",2,"latens","JU724","FCX",1,3
"32","FCX18",3,"latens","JU724","FCX",0,9
"33","FCX19",0,"sp.25","ZF1092","FCX",0,1
"34","FCX19",1,"sp.25","ZF1092","FCX",0,3
"35","FCX19",2,"sp.25","ZF1092","FCX",0,3
"36","FCX19",3,"sp.25","ZF1092","FCX",1,1
"37","FCX2",0,"elegans","JU1580","FCX",1,1
"38","FCX2",1,"elegans","JU1580","FCX",3,3
"39","FCX2",2,"elegans","JU1580","FCX",3,3
"40","FCX2",3,"elegans","JU1580","FCX",9,9
"41","FCX20",0,"sp.25","ZF1092","FCX",0,1
"42","FCX20",1,"sp.25","ZF1092","FCX",1,3
"43","FCX20",2,"sp.25","ZF1092","FCX",1,3
"44","FCX20",3,"sp.25","ZF1092","FCX",1,5
"45","FCX21",0,"sp.25","ZF1092","FCX",0,1
"46","FCX21",1,"sp.25","ZF1092","FCX",0,3
"47","FCX21",2,"sp.25","ZF1092","FCX",0,3
"48","FCX21",3,"sp.25","ZF1092","FCX",0,5
"49","FCX22",0,"sp.25","ZF1092","FCX",0,1
"50","FCX22",1,"sp.25","ZF1092","FCX",0,3
"51","FCX22",2,"sp.25","ZF1092","FCX",2,3
"52","FCX22",3,"sp.25","ZF1092","FCX",2,9
"53","FCX27",0,"latens","VX80","FCX",1,1
"54","FCX27",1,"latens","VX80","FCX",1,3
"55","FCX27",2,"latens","VX80","FCX",1,3
"56","FCX27",3,"latens","VX80","FCX",1,9
"57","FCX28",0,"latens","VX80","FCX",0,1
"58","FCX28",1,"latens","VX80","FCX",0,3
"59","FCX28",2,"latens","VX80","FCX",0,3
"60","FCX28",3,"latens","VX80","FCX",4,9
"61","FCX29",0,"latens","VX80","FCX",0,1
"62","FCX29",1,"latens","VX80","FCX",0,3
"63","FCX29",2,"latens","VX80","FCX",0,3
"64","FCX29",3,"latens","VX80","FCX",2,7
"65","FCX3",0,"sp.65","JU4093","FCX",0,1
"66","FCX3",1,"sp.65","JU4093","FCX",0,3
"67","FCX3",2,"sp.65","JU4093","FCX",0,3
"68","FCX3",3,"sp.65","JU4093","FCX",2,9
"69","FCX30",0,"latens","VX80","FCX",0,1
"70","FCX30",1,"latens","VX80","FCX",1,3
"71","FCX30",2,"latens","VX80","FCX",0,3
"72","FCX30",3,"latens","VX80","FCX",1,9
"73","FCX31",0,"wallacei","JU1873","FCX",0,1
"74","FCX31",1,"wallacei","JU1873","FCX",1,3
"75","FCX31",2,"wallacei","JU1873","FCX",1,3
"76","FCX31",3,"wallacei","JU1873","FCX",1,9
"77","FCX32",0,"wallacei","JU1873","FCX",0,1
"78","FCX32",1,"wallacei","JU1873","FCX",1,3
"79","FCX32",2,"wallacei","JU1873","FCX",2,3
"80","FCX32",3,"wallacei","JU1873","FCX",6,9
"81","FCX33",0,"wallacei","JU1873","FCX",0,1
"82","FCX33",1,"wallacei","JU1873","FCX",1,3
"83","FCX33",2,"wallacei","JU1873","FCX",1,3
"84","FCX33",3,"wallacei","JU1873","FCX",3,9
